Distance WRT ,Element 1 Phase (Degrees) ,Element 2 Phase (Degrees) ,Element 3 Phase (Degrees) ,Element 4 Phase (Degrees) 
33.6,0,239.2,478.4,717.7
34,0,220.4,440.8,661.3
34.5,0,199.3,398.6,597.9
35,0,180.6,361.3,541.9
35.5,0,164.3,328.5,492.8
36,0,149.9,299.8,449.7
36.5,0,137.4,274.9,412.3
37,0,126.6,253.2,379.8
37.5,0,117.2,234.5,351.7
38,0,109.1,218.3,327.4
38.5,0,102.1,204.2,306.2
39,0,95.9,191.7,287.6
39.5,0,90.3,180.6,270.9
40,0,85.2,170.4,255.6
40.5,0,80.3,160.7,241
41,0,75.6,151.1,226.7
41.5,0,70.8,141.5,212.3
42,0,66,132,198.1
42.5,0,61.3,122.6,183.9
43,0,56.6,113.2,169.8
43.5,0,51.9,103.9,155.8
44,0,47.3,94.6,142
44.5,0,42.8,85.5,128.3
45,0,38.2,76.5,114.7
45.5,0,33.8,67.5,101.3
46,0,29.4,58.7,88.1
46.5,0,25,50,75.1
47,0,20.8,41.5,62.3
47.5,0,16.6,33.1,49.7
48,0,12.4,24.9,37.3
48.5,0,8.4,16.8,25.2
49,0,4.5,8.9,13.4
49.5,0,0.6,1.2,1.8
50,0,-3.1,-6.3,-9.4
50.5,0,-6.8,-13.6,-20.5
51,0,-10.4,-20.8,-31.2
51.5,0,-13.9,-27.9,-41.8
52,0,-17.4,-34.8,-52.2
52.5,0,-20.8,-41.7,-62.5
53,0,-24.3,-48.5,-72.8
53.5,0,-27.6,-55.3,-82.9
54,0,-31,-62.1,-93.1
54.5,0,-34.4,-68.8,-103.3
55,0,-37.8,-75.7,-113.5
55.5,0,-41.3,-82.5,-123.8
56,0,-44.8,-89.5,-134.3
56.5,0,-48.3,-96.6,-144.9
57,0,-51.9,-103.8,-155.7
57.5,0,-55.6,-111.2,-166.8
58,0,-59.4,-118.7,-178.1
58.5,0,-63.2,-126.5,-189.7
59,0,-67.2,-134.5,-201.7
59.5,0,-71.4,-142.7,-214.1
60,0,-75.6,-151.2,-226.8
60.5,0,-80,-160.1,-240.1
61,0,-84.6,-169.2,-253.8
61.5,0,-89.3,-178.6,-267.9
62,0,-94.1,-188.3,-282.4
62.5,0,-99.1,-198.2,-297.3
63,0,-104.2,-208.4,-312.5
63.5,0,-109.3,-218.7,-328
64,0,-114.6,-229.2,-343.7
64.5,0,-119.9,-239.8,-359.6
65,0,-125.2,-250.5,-375.7
65.5,0,-130.6,-261.2,-391.9
66,0,-136,-272.1,-408.1
66.5,0,-141.5,-282.9,-424.4
67,0,-146.9,-293.8,-440.6
67.5,0,-152.3,-304.6,-456.9
68,0,-157.7,-315.3,-473
68.5,0,-163,-326,-489
69,0,-168.3,-336.5,-504.8
69.5,0,-173.5,-346.9,-520.4
70,0,-178.6,-357.1,-535.7
70.5,0,-183.6,-367.2,-550.7
71,0,-188.5,-377,-565.4
71.5,0,-193.3,-386.5,-579.8
72,0,-197.9,-395.8,-593.7
72.5,0,-202.4,-404.7,-607.1
73,0,-206.7,-413.4,-620
73.5,0,-210.8,-421.6,-632.4
74,0,-214.7,-429.5,-644.2
74.5,0,-218.5,-437,-655.4
75,0,-222,-444,-666
75.5,0,-225.3,-450.5,-675.8
76,0,-228.3,-456.6,-684.8
76.5,0,-231,-462.1,-693.1
77,0,-233.5,-467.1,-700.6
77.5,0,-235.7,-471.4,-707.2
78,0,-237.6,-475.2,-712.8
78.5,0,-239.2,-478.4,-717.6
79,0,-240.4,-480.9,-721.3
79.5,0,-241.3,-482.7,-724
80,0,-241.9,-483.7,-725.6
80.5,0,-242,-484.1,-726.1
81,0,-241.8,-483.7,-725.5
81.5,0,-241.2,-482.4,-723.6
82,0,-240.2,-480.4,-720.6
82.5,0,-238.7,-477.5,-716.2