Name,R,A,S,Nx,Ny,Nz
P2,15.193232400189505,-17.695036904743315,67.37164181788349,-0.26987933314493134,0.7112269185412627,-0.6446107863282275
POz,-15.151779042873942,-33.43679333976049,41.265316327530364,0.13731144461995276,0.9092781277032207,-0.3917304030473591
P3,-62.478288000336114,-5.930320332784295,51.42530518632002,0.679627779979346,0.6000778402186828,-0.41628649792260775
Pz,-13.148543524174254,-14.589310604968404,70.92139285898877,0.19275164262933217,0.7066593561927806,-0.6762520447866232
FCz,-2.4026642262679068,89.68970611098358,87.41062451936573,0.0186959660127754,-0.2644485637929958,-0.9637619752237191
FC5,-75.32417901941554,84.41568755819789,34.0107772090401,0.9425484904744971,-0.26233302364829286,-0.20217356582927126
Nz,2.5022944511810037,150.83467806470432,-15.13525357472038,-0.030598774412556824,-0.9418727011170471,0.13240178737653838
P1,-36.02497306558104,-12.041499526479187,67.90078335621658,0.29704088786790966,0.6899118504559476,-0.6578782785928337
P6,49.375589898127075,-13.313870636200217,27.61354276647816,-0.725349540113401,0.6784300468083342,-0.10811253366689715
O2,8.907128051294976,-41.854797500667885,5.336458237258409,-0.22880393788827114,0.9695799492628463,-0.05978515442009569
O1,-41.56980081289302,-36.326197438307005,3.9116866714470597,0.4111742548667456,0.9085361743342366,-0.05224647316464551
Fpz,2.517196899984767,151.95219591291183,20.82484111033547,-0.10302932435319745,-0.9835912340859384,-0.14209395926694915
P4,37.846291536710595,-15.818607014936934,50.72985706797918,-0.5324789105029154,0.7378137106552004,-0.4076599193145185
TP7,-82.81469940726477,28.06337800947113,-0.08927055971855968,0.9778768138629673,0.18751042415320976,0.08853830164502863
PO8,34.42129510832549,-28.696419193167525,3.6489850878968615,-0.6379342942876187,0.7651303296575406,0.07029533922954562
FT7,-80.53975746832265,77.4249476496775,3.6434255422468844,0.9550512362427618,-0.28317574327311906,0.0022755103056595572
FT8,69.7474448567746,58.77016891445505,5.216674856060175,-0.9928625785150186,-0.10350525411706046,-0.004607980524237882
Fz,1.049048865496694,117.88840490404084,74.6820222782245,-0.03799201945563379,-0.5457006427862532,-0.8357584525135813
RPA,66.0169377614351,46.26162122059287,-29.06162749235221,-0.879664704533794,0.08805681296836565,0.22428668358708914
CPz,-10.406798434490641,15.526196961184834,89.00497650267458,0.026339588077748506,0.29039524943268064,-0.9555785152724072
CP3,-70.61813670019575,23.7300438062985,61.3607653984666,0.7499025140833399,0.24964738969378816,-0.6083674870021942
AF8,56.830195129522146,117.13067714100504,13.067791679403566,-0.8631923043608414,-0.4959720078114866,-0.07319782316579469
PO7,-63.555628086376444,-18.897184539619666,1.152819014292541,0.7667981605253502,0.6380689006710343,0.06168736551888269
C3,-68.65240611200952,62.326539510306915,62.52943994495008,0.7357923670053417,-0.27418529245225937,-0.6149059810203775
C2,28.27405230643043,51.53610145299696,84.63228489141297,-0.45072188683180886,-0.0862847814233298,-0.8874722493231154
C1,-41.57825401759825,59.305635158058294,83.46590695820088,0.4376526284826317,-0.16546334583110506,-0.8829440392792002
AF7,-55.85520228180725,129.59812189728677,11.23620903713872,0.7992371103385106,-0.5907663269191309,-0.06483658041713987
C6,67.30971453209956,46.88014101718337,34.17424505939246,-0.9879975707618316,-0.023102821530432735,-0.146362446296607
C5,-80.56071479522784,62.46319165058203,32.46773211028408,0.9604270242344751,-0.20325636362086083,-0.18558169740256425
C4,54.95347772941997,48.76240186893904,64.14915820946722,-0.8039542267221331,-0.07776016152888629,-0.586861054163452
FC6,66.31526144529309,67.45359557217995,35.41269865049123,-0.9820296056349122,-0.05857300885124113,-0.16862743161163227
FC1,-34.47151571950728,91.29533238359035,78.31210232424347,0.4080524252462146,-0.322251600909708,-0.8537423871821185
FC2,29.3385167483138,83.76162013203997,80.30443922781812,-0.4659755793324589,-0.1965261149668532,-0.8610093398512272
FC3,-59.67295556979577,89.58700493099148,59.81321612231596,0.74093867610497,-0.34802734938833557,-0.5711298682639556
FC4,53.41428897499271,76.07888830680461,61.51903654997236,-0.6690592478971503,-0.226715084960833,-0.7056669918304522
P7,-79.53793658662539,3.4626638073545046,1.5962966177163351,0.931080897018175,0.33417209814941895,0.09698056102279493
T8,70.12418695462839,45.749094328194396,3.4871855170362025,-0.9960659679124958,0.05417479969850176,0.0014051796007752656
P5,-74.99939509808583,-1.6215885871952582,30.66327875214902,0.7975734984886672,0.5753544375452629,-0.16978952807140257
T7,-83.77423852328454,62.848622607704854,1.625399330030824,0.9810895184520878,-0.17688501786985478,-0.061858453716346296
P8,52.78487110040742,-9.402660742021821,2.2617275859380612,-0.7939065772668891,0.6021292916295887,0.060264351187167095
P9,-72.9906511483973,11.152210518913703,-30.95754932047722,0.8288426038696313,0.44199496408941,0.33706325810340904
PO3,-42.544737196368864,-28.13355538607493,33.44247796726803,0.4050954985944233,0.8499528052117364,-0.3350847530986256
PO4,12.033991871244625,-34.53226279170234,35.192705745193514,-0.21525126067183278,0.929488548829588,-0.2968652405098989
AF4,43.491332696626614,130.64191499392103,35.57632273861327,-0.695560852835132,-0.6703062747671968,-0.24364144493326392
F3,-48.94461355961195,116.53942043443767,52.24432480682771,0.6894963179619295,-0.4967089264088435,-0.5238068159096188
Fp1,-29.25244717371109,148.8516892116073,15.810943873799438,0.45231471837153653,-0.8682520586224688,-0.19646185628142024
Oz,-16.49784118816516,-42.708253437572104,8.08000801642439,0.11813207346867045,0.9877737378707663,-0.08992269688807687
Fp2,34.0283825024597,143.08276186174314,16.968177682409504,-0.5598336100030948,-0.8033701576489247,-0.19020450016079993
LPA,-79.25091919271401,62.813904276268225,-31.637192574951094,0.8873028903482282,0.020078523906612807,0.22373849258569056
F1,-26.66167588015597,119.36994265204936,67.98293653226685,0.3231481108296221,-0.5536527222170207,-0.7642904261330041
F2,28.603187763764268,112.38714583562485,69.49096732825835,-0.46347376942950563,-0.4631176723985771,-0.7535932436098458
Iz,-16.020967383083637,-39.12235669208818,-24.603368808525577,0.08827134118913332,0.9234532082241367,0.36706322323566554
F4,49.300750542624115,103.69724187504899,54.24428073788458,-0.7723169885087892,-0.3527147286388488,-0.5263505057261013
F5,-64.27091392106423,110.74385880328458,31.89011441367311,0.8107309958404384,-0.506232011715937,-0.2894949698003204
F6,63.47725982940053,94.44362573135916,34.042539170895694,-0.8971415069357044,-0.3323066962902283,-0.26674430005410044
F7,-70.84151446758203,101.94058781008897,7.307575115704081,0.883367994334873,-0.45865290661101277,-0.043036440518366255
F8,67.00963190682963,83.63203264854138,8.869685350799276,-0.9967069462824228,-0.05855582482542446,-0.05124346628701911
P10,49.944124037072235,-2.4829485238853786,-28.327277922239368,-0.6895666026345942,0.5789782573949872,0.4322441500737762
CP5,-82.45283056742446,26.10691679944099,31.53013098686002,0.985695056752883,0.09671745993547311,-0.1248399516131759
Cz,-6.499281406901379,55.32184005700453,93.5230867856857,-0.02328252834411564,-0.07581616941578274,-0.9953613007254856
AFz,1.6820193192701818,142.0872256490762,49.999460951532704,-0.05029965074086875,-0.8280424448849507,-0.5573847988468962
CP1,-44.38845725874823,19.81627999781163,82.28287015780917,0.4075332486999814,0.2640261056305834,-0.8725209743539335
CP2,23.135459698463357,12.508358042398527,82.69625199207628,-0.3869689873399933,0.3124929629278988,-0.8665009515959744
TP8,63.5892570539471,11.88043828973196,2.20439295642225,-0.9153531157896148,0.3824816587341147,0.09372470144381494
CP4,49.58093336679738,11.039944025779688,63.40031269383728,-0.6356396294919893,0.3856318579555271,-0.6664417107125294
AF3,-40.11284795483515,138.56228794568807,32.395175980221204,0.5861929486028966,-0.7726883913555156,-0.23538065827671423
CP6,63.09402742844098,10.325976286202444,34.71231232964186,-0.9454878141991551,0.30747342286279916,-0.08734299724890007
